listname, account
🌏 geo,42aross@mastodon.social
🌏 geo,abel@vis.social
🌏 geo,adamsteer@mastodon.social
🌏 geo,AdeleGarnier@mastodon.social
🌏 geo,adrienandrem@pouet.chapril.org
🌏 geo,agnieszka@scholar.social
🌏 geo,ajturner@nullisland.social
🌏 geo,akadouri@vis.social
🌏 geo,alan_geog@mstdn.social
🌏 geo,alan@subdued.social
🌏 geo,albertocairo@mastodon.social
🌏 geo,alexgleith@mapstodon.space
🌏 geo,alexnetogeo@fosstodon.org
🌏 geo,alexsingleton@mapstodon.space
🌏 geo,AlidaCantor@mastodon.social
🌏 geo,alisonstenning@mastodon.social
🌏 geo,allan@mastodon.xyz
🌏 geo,allan_mustard@en.osm.town
🌏 geo,AlvaroAnguix@mastodon.social
🌏 geo,amapanda@en.osm.town
🌏 geo,amercader@mastodon.social
🌏 geo,analeticia@fosstodon.org
🌏 geo,andreatitolo@archaeo.social
🌏 geo,andre_ourednik@mastodon.social
🌏 geo,anlugonz@mapstodon.space
🌏 geo,annest@fosstodon.org
🌏 geo,annest@mastodon.social
🌏 geo,antiapathy@mastodon.social
🌏 geo,antscott@mastodon.social
🌏 geo,archaeogeek@mastodon.social
🌏 geo,arijerrems@mastodon.online
🌏 geo,ArrogantHair@mstdn.ca
🌏 geo,asgerpetersen@mastodon.social
🌏 geo,astroidex@mastodon.social
🌏 geo,astrojuanlu@social.juanlu.space
🌏 geo,AtanasE@mastodon.social
🌏 geo,atanas@mastodon.cloud
🌏 geo,atlefren@fosstodon.org
🌏 geo,austinkocher@mastodon.social
🌏 geo,avibarzeev@mastodon.social
🌏 geo,awoodruff@mapstodon.space
🌏 geo,baswein@mapstodon.space
🌏 geo,bcamper@mastodon.social
🌏 geo,bil@vis.social
🌏 geo,bitnerd@mastodon.social
🌏 geo,Bitner@mastodon.social
🌏 geo,bogind@mapstodon.space
🌏 geo,bowendc@mastodon.social
🌏 geo,Brett_E_Carlock@mastodon.online
🌏 geo,CaGIS@mapstodon.space
🌏 geo,camptocamp@mstdn.social
🌏 geo,catarino@mastodon.social
🌏 geo,ccamara@mastodon.social
🌏 geo,ChloeTas@aus.social
🌏 geo,chringel@fosstodon.org
